128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      323.4231572   2  52
  1      323.4231678   4  53
  1      323.4233322   6  50
  1      323.4236732   5  51
  1      323.4238580   8  51
  1      323.4246167   6  53
* Gp# 1[2,9,6] x =    830.4, y =     1851, q = 0 dT[    48,   175] Src Amplitude = 52.0
*        323.4231572   2  52
*        323.4220952   9  59
*        323.4233322   6  50
  1      323.4253355   2  52
  1      323.4254873   5  54
  1      323.4256210   8  50
  1      323.4258100   4  53
  1      323.4268207   5  51
  1      323.4270672   8  53
  1      323.4281698   4  51
  1      323.4282462   5  52
  1      323.4284078   2  53
  1      323.4284585   6  53
  1      323.4296740   4  53
  1      323.4297547   5  53
  1      323.4299150   2  53
  1      323.4318270   4  53
  1      323.4322910   2  52
  1      323.4324060   8  51
  1      323.4324640   6  53
  1      323.4340840   4  55
  1      323.4343167   5  57
  1      323.4344200   2  52
  1      323.4345820   8  56
  1      323.4358820   2  53
  1      323.4369438   6  55
  1      323.4377313   2  54
  1      323.4386852   4  53
  1      323.4394385   2  54
  1      323.4405048   4  55
  1      323.4407335   2  56
  1      323.4415150   7  51
  1      323.4423533   6  57
  1      323.4448992   7  50
  1      323.4458408   4  56
  1      323.4504340   6  55
  1      323.4584352   2  55
  1      323.4623015   7  50
  1      323.4672713   7  50
  1      323.4676950   2  54
  1      323.4724888   2  52
  1      323.4725745   4  54
  1      323.4741820   2  54
  1      323.4751802   4  55
  1      323.4769945   2  53
  1      323.4793052   7  50
  1      323.4806423   2  54
  1      323.4808015   5  53
  1      323.4827520   4  54
  1      323.4831777   2  54
  1      323.4837010   5  55
  1      323.4864162   2  54
  1      323.4881898   4  53
  1      323.4895088   4  54
  1      323.4896495   2  54
  1      323.4921132   4  54
  1      323.4921925   8  56
  1      323.4922007   5  54
  1      323.4923908   2  53
  1      323.4950672   2  51
* Gp# 1[5,4,8,2] x =     1929, y =     1807, q = 0 dT[   165,   266,   388] Src Amplitude = 54.0
*        323.4922007   5  54
*        323.4921132   4  54
*        323.4921925   8  56
*        323.4923908   2  53
  1      323.4959985   6  52
  1      323.4960960   4  53
  1      323.4965830   2  53
  1      323.4975437   8  53
